Day Index,Users
17/10/2016,1848829
18/10/2016,2247623
19/10/2016,2207651
20/10/2016,2749518
21/10/2016,2768533
22/10/2016,2824447
23/10/2016,2831200
24/10/2016,3763541
25/10/2016,3162335
26/10/2016,2459029
27/10/2016,2167497
28/10/2016,1791505
29/10/2016,1949694
30/10/2016,2098528
31/10/2016,1961663
01/11/2016,1997083
02/11/2016,2152486
03/11/2016,2171488
04/11/2016,2060006
05/11/2016,2023740
06/11/2016,3077195
07/11/2016,4216171
08/11/2016,2642514
09/11/2016,2227226
10/11/2016,2787381
11/11/2016,2284905
12/11/2016,2296289
13/11/2016,3087500
14/11/2016,3164744
15/11/2016,2687909
16/11/2016,2392667
17/11/2016,2024789
18/11/2016,2265985
19/11/2016,2460277
20/11/2016,2783848
21/11/2016,2162645
22/11/2016,2039459
23/11/2016,2157195
24/11/2016,2250571
25/11/2016,2417298
26/11/2016,2665966
27/11/2016,2546499
28/11/2016,2661214
29/11/2016,2710547
30/11/2016,2298009
01/12/2016,2406770
02/12/2016,2895493
03/12/2016,2691336
04/12/2016,3027818
05/12/2016,3563820
06/12/2016,3330957
07/12/2016,2344126
08/12/2016,1675906
09/12/2016,1681740
10/12/2016,1846671
11/12/2016,1655467
12/12/2016,1844913
13/12/2016,2055518
14/12/2016,2305404
15/12/2016,2594527
16/12/2016,2097944
17/12/2016,1342853
18/12/2016,1481221
19/12/2016,1603368
20/12/2016,1628532
21/12/2016,1208132
22/12/2016,1169355
23/12/2016,1396137
24/12/2016,2020476
25/12/2016,1626258
26/12/2016,1478368
27/12/2016,1553775
28/12/2016,1724824
29/12/2016,1816394
30/12/2016,1752608
31/12/2016,1716215
01/01/2017,1063745
02/01/2017,1843995
03/01/2017,2186674
04/01/2017,1434331
05/01/2017,1568706
06/01/2017,1869870
07/01/2017,2414678
08/01/2017,1795735
09/01/2017,1912000
10/01/2017,2631761
11/01/2017,1856117
12/01/2017,1854268
13/01/2017,1553521
14/01/2017,1437557
15/01/2017,1435217
16/01/2017,1670965
17/01/2017,1672071
18/01/2017,2027119
19/01/2017,2113122
20/01/2017,1717217
21/01/2017,1689721
22/01/2017,1510375
23/01/2017,1648131
24/01/2017,1641823
25/01/2017,2156162
26/01/2017,1876561
27/01/2017,2209219
28/01/2017,2495449
29/01/2017,2078575
30/01/2017,2106068
31/01/2017,2344517
01/02/2017,2190934
02/02/2017,2472265
03/02/2017,2439935
04/02/2017,2853620
05/02/2017,2678206
06/02/2017,2467646
07/02/2017,2110501
08/02/2017,2054993
09/02/2017,2088263
10/02/2017,2178441
11/02/2017,2582248
12/02/2017,2617632
13/02/2017,2616298
14/02/2017,2428103
15/02/2017,2304903
16/02/2017,2402651
17/02/2017,2304834
18/02/2017,2266562
19/02/2017,2543115
20/02/2017,2710491
21/02/2017,3484097
22/02/2017,2597177
23/02/2017,2097273
24/02/2017,1958418
25/02/2017,2863979
26/02/2017,3282297
27/02/2017,2229607
28/02/2017,2219776
01/03/2017,1748602
02/03/2017,1892392
03/03/2017,2028855
04/03/2017,1960399
05/03/2017,2037778
06/03/2017,1951635
07/03/2017,1756639
08/03/2017,1562907
09/03/2017,1707096
10/03/2017,1929554
11/03/2017,1986228
12/03/2017,2460890
13/03/2017,2416281
14/03/2017,2176028
15/03/2017,2339955
16/03/2017,2281566
17/03/2017,2178274
18/03/2017,2530934
19/03/2017,2977053
20/03/2017,2789715
21/03/2017,3015848
22/03/2017,2842965
23/03/2017,2591323
24/03/2017,2512192
25/03/2017,2938945
26/03/2017,3009492
27/03/2017,2723446
28/03/2017,2326694
29/03/2017,2418962
30/03/2017,2436913
31/03/2017,2294694
01/04/2017,2035577
02/04/2017,2474119
03/04/2017,2633217
04/04/2017,2665967
05/04/2017,2347614
06/04/2017,2583414
07/04/2017,2421033
08/04/2017,2638662
09/04/2017,2910986
10/04/2017,2865969
11/04/2017,2824496
12/04/2017,2804047
13/04/2017,2497936
14/04/2017,2501845
15/04/2017,2691885
16/04/2017,3038612
17/04/2017,2814668
18/04/2017,2512294
19/04/2017,2236030
20/04/2017,2074366
21/04/2017,2265411
22/04/2017,2318027
23/04/2017,2403932
24/04/2017,2390909
25/04/2017,2254359
26/04/2017,2643563
27/04/2017,2697588
28/04/2017,2234470
29/04/2017,2460321
30/04/2017,2705639
01/05/2017,2942380
02/05/2017,2962940
03/05/2017,2866867
04/05/2017,2659573
05/05/2017,2431420
06/05/2017,2286965
07/05/2017,2606414
08/05/2017,2726172
09/05/2017,2762206
10/05/2017,2636539
11/05/2017,1268164
12/05/2017,1039560
13/05/2017,840910
14/05/2017,767930
15/05/2017,800640
16/05/2017,861109
17/05/2017,856231
18/05/2017,862664
19/05/2017,854825
20/05/2017,897315
21/05/2017,930052
22/05/2017,988800
23/05/2017,941351
24/05/2017,1159657
25/05/2017,1156244
26/05/2017,1038814
27/05/2017,1106170
28/05/2017,1281102
29/05/2017,1298871
30/05/2017,1208426
31/05/2017,1134196
01/06/2017,1021776
02/06/2017,1403493
03/06/2017,1371582
04/06/2017,1470009
05/06/2017,1585862
06/06/2017,1469029
07/06/2017,1376397
08/06/2017,1389686
09/06/2017,1735621
10/06/2017,1330660
11/06/2017,1290953
12/06/2017,1247756
13/06/2017,1095472
14/06/2017,974491
15/06/2017,894781
16/06/2017,1110970
17/06/2017,1255298
18/06/2017,1459360
19/06/2017,1543052
20/06/2017,1232829
21/06/2017,1217826
22/06/2017,1125585
23/06/2017,926825
24/06/2017,985968
25/06/2017,1238983
26/06/2017,1359817
27/06/2017,1204139
28/06/2017,941103
29/06/2017,803883
30/06/2017,776850
01/07/2017,858789
02/07/2017,934071
03/07/2017,957782
04/07/2017,767161
05/07/2017,901155
06/07/2017,899682
07/07/2017,760748
08/07/2017,730753
09/07/2017,779715
10/07/2017,931591
11/07/2017,905987
12/07/2017,1104282
13/07/2017,1327494
14/07/2017,1172658
15/07/2017,1531717
16/07/2017,1557345
17/07/2017,1502832
18/07/2017,1305090
19/07/2017,1066431
20/07/2017,1082787
21/07/2017,1025554
22/07/2017,1025093
23/07/2017,992653
24/07/2017,1121358
25/07/2017,994559
26/07/2017,1054088
27/07/2017,1122221
28/07/2017,1412588
29/07/2017,1751405
30/07/2017,2281082
31/07/2017,2417689
01/08/2017,1402772
02/08/2017,1121350
03/08/2017,1215269
04/08/2017,1015385
05/08/2017,1206242
06/08/2017,1123511
07/08/2017,834369
08/08/2017,817834
09/08/2017,1110882
10/08/2017,1211393
11/08/2017,1393523
12/08/2017,1833052
13/08/2017,1500210
14/08/2017,1400555
15/08/2017,1419165
16/08/2017,1396325
17/08/2017,1821907
18/08/2017,2009994
19/08/2017,2099865
