"","cluster","variable","value"
"216",16,"InnerVoice",0
"217",17,"InnerVoice",0
"218",18,"InnerVoice",0
"219",19,"InnerVoice",0
"220",20,"InnerVoice",0
"221",21,"InnerVoice",0
"222",22,"InnerVoice",0
"223",23,"InnerVoice",0
"224",24,"InnerVoice",0
"225",25,"InnerVoice",0
"226",1,"Lifestyle",1
"227",2,"Lifestyle",6
"228",3,"Lifestyle",1
"229",4,"Lifestyle",0
"230",5,"Lifestyle",2
"231",6,"Lifestyle",1
"232",7,"Lifestyle",2
"233",8,"Lifestyle",6
"234",9,"Lifestyle",0
"235",10,"Lifestyle",0
"236",11,"Lifestyle",1
"237",12,"Lifestyle",1
"238",13,"Lifestyle",4
"239",14,"Lifestyle",2
"240",15,"Lifestyle",2
"241",16,"Lifestyle",4
"242",17,"Lifestyle",2
"243",18,"Lifestyle",0
"244",19,"Lifestyle",1
"245",20,"Lifestyle",2
"246",21,"Lifestyle",2
"247",22,"Lifestyle",5
"248",23,"Lifestyle",0
"249",24,"Lifestyle",1
"250",25,"Lifestyle",2
"251",1,"People...Politics",0
"252",2,"People...Politics",0
"253",3,"People...Politics",0
"254",4,"People...Politics",0
"255",5,"People...Politics",0
"256",6,"People...Politics",3
"257",7,"People...Politics",0
"258",8,"People...Politics",0
"259",9,"People...Politics",1
"260",10,"People...Politics",1
"261",11,"People...Politics",0
"262",12,"People...Politics",0
"263",13,"People...Politics",1
"264",14,"People...Politics",0
"265",15,"People...Politics",0
"266",16,"People...Politics",1
"267",17,"People...Politics",1
"268",18,"People...Politics",1
"269",19,"People...Politics",1
"270",20,"People...Politics",1
"271",21,"People...Politics",6
"272",22,"People...Politics",1
"273",23,"People...Politics",0
"274",24,"People...Politics",2
"275",25,"People...Politics",0
"276",1,"Quiz",0
"277",2,"Quiz",0
"278",3,"Quiz",0
"279",4,"Quiz",0
"280",5,"Quiz",0
"281",6,"Quiz",0
"282",7,"Quiz",0
"283",8,"Quiz",0
"284",9,"Quiz",0
"285",10,"Quiz",0
"286",11,"Quiz",0
"287",12,"Quiz",0
"288",13,"Quiz",0
"289",14,"Quiz",0
"290",15,"Quiz",0
"291",16,"Quiz",0
"292",17,"Quiz",0
"293",18,"Quiz",0
"294",19,"Quiz",1
"295",20,"Quiz",0
"296",21,"Quiz",0
"297",22,"Quiz",0
"298",23,"Quiz",0
"299",24,"Quiz",0
"300",25,"Quiz",0
"301",1,"Relationship",0
"302",2,"Relationship",0
"303",3,"Relationship",0
"304",4,"Relationship",2
"305",5,"Relationship",0
"306",6,"Relationship",1
"307",7,"Relationship",6
"308",8,"Relationship",2
"309",9,"Relationship",0
"310",10,"Relationship",0
"311",11,"Relationship",0
"312",12,"Relationship",0
"313",13,"Relationship",2
"314",14,"Relationship",0
"315",15,"Relationship",0
"316",16,"Relationship",1
"317",17,"Relationship",0
"318",18,"Relationship",0
"319",19,"Relationship",1
"320",20,"Relationship",1
"321",21,"Relationship",0
"322",22,"Relationship",1
"323",23,"Relationship",1
"324",24,"Relationship",0
"325",25,"Relationship",6
"326",1,"Science...Technology",0
"327",2,"Science...Technology",0
"328",3,"Science...Technology",0
"329",4,"Science...Technology",0
"330",5,"Science...Technology",0
"331",6,"Science...Technology",0
"332",7,"Science...Technology",0
"333",8,"Science...Technology",0
"334",9,"Science...Technology",0
"335",10,"Science...Technology",0
"336",11,"Science...Technology",4
"337",12,"Science...Technology",0
"338",13,"Science...Technology",0
"339",14,"Science...Technology",0
"340",15,"Science...Technology",0
"341",16,"Science...Technology",0
"342",17,"Science...Technology",0
"343",18,"Science...Technology",0
"344",19,"Science...Technology",0
"345",20,"Science...Technology",0
"346",21,"Science...Technology",0
"347",22,"Science...Technology",0
"348",23,"Science...Technology",0
"349",24,"Science...Technology",0
"350",25,"Science...Technology",0
"351",1,"Sports",6
